p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
,,2.201860372074e-10,4.080992109241e-01
,,2.202460492098e-10,4.085940263669e-01
,,2.203060612122e-10,4.090876749874e-01
,,2.203660732146e-10,4.095801617124e-01
,,2.204260852170e-10,4.100714914341e-01
,,2.204860972194e-10,4.105616690106e-01
,,2.205461092218e-10,4.110506992657e-01
,,2.206061212242e-10,4.115385869899e-01
,,2.206661332266e-10,4.120253369405e-01
,,2.207261452290e-10,4.125109538417e-01
,,2.207861572314e-10,4.129954423852e-01
,,2.208461692338e-10,4.134788072305e-01
,,2.209061812362e-10,4.139610530049e-01
,,2.209661932386e-10,4.144421843045e-01
,,2.210262052410e-10,4.149222056936e-01
,,2.210862172434e-10,4.154011217057e-01
,,2.211462292458e-10,4.158789368437e-01
,,2.212062412482e-10,4.163556555798e-01
,,2.212662532507e-10,4.168312823564e-01
,,2.213262652531e-10,4.173058215857e-01
,,2.213862772555e-10,4.177792776505e-01
,,2.214462892579e-10,4.182516549045e-01
,,2.215063012603e-10,4.187229576723e-01
,,2.215663132627e-10,4.191931902495e-01
,,2.216263252651e-10,4.196623569038e-01
,,2.216863372675e-10,4.201304618742e-01
,,2.217463492699e-10,4.205975093722e-01
,,2.218063612723e-10,4.210635035814e-01
,,2.218663732747e-10,4.215284486581e-01
,,2.219263852771e-10,4.219923487316e-01
,,2.219863972795e-10,4.224552079040e-01
,,2.220464092819e-10,4.229170302511e-01
,,2.221064212843e-10,4.233778198223e-01
,,2.221664332867e-10,4.238375806406e-01
,,2.222264452891e-10,4.242963167033e-01
,,2.222864572915e-10,4.247540319822e-01
,,2.223464692939e-10,4.252107304233e-01
,,2.224064812963e-10,4.256664159477e-01
,,2.224664932987e-10,4.261210924516e-01
,,2.225265053011e-10,4.265747638061e-01
,,2.225865173035e-10,4.270274338583e-01
,,2.226465293059e-10,4.274791064305e-01
,,2.227065413083e-10,4.279297853214e-01
,,2.227665533107e-10,4.283794743056e-01
,,2.228265653131e-10,4.288281771341e-01
,,2.228865773155e-10,4.292758975345e-01
,,2.229465893179e-10,4.297226392112e-01
,,2.230066013203e-10,4.301684058457e-01
,,2.230666133227e-10,4.306132010964e-01
,,2.231266253251e-10,4.310570285994e-01
,,2.231866373275e-10,4.314998919683e-01
,,2.232466493299e-10,4.319417947945e-01
,,2.233066613323e-10,4.323827406474e-01
,,2.233666733347e-10,4.328227330745e-01
,,2.234266853371e-10,4.332617756019e-01
,,2.234866973395e-10,4.336998717340e-01
,,2.235467093419e-10,4.341370249542e-01
,,2.236067213443e-10,4.345732387247e-01
,,2.236667333467e-10,4.350085164867e-01
,,2.237267453491e-10,4.354428616611e-01
,,2.237867573515e-10,4.358762776478e-01
,,2.238467693539e-10,4.363087678266e-01
,,2.239067813563e-10,4.367403355573e-01
,,2.239667933587e-10,4.371709841793e-01
,,2.240268053611e-10,4.376007170125e-01
,,2.240868173635e-10,4.380295373570e-01
,,2.241468293659e-10,4.384574484933e-01
,,2.242068413683e-10,4.388844536830e-01
,,2.242668533707e-10,4.393105561679e-01
,,2.243268653731e-10,4.397357591714e-01
,,2.243868773755e-10,4.401600658977e-01
,,2.244468893779e-10,4.405834795323e-01
,,2.245069013803e-10,4.410060032424e-01
,,2.245669133827e-10,4.414276401767e-01
